aqi,pre_aqi,so2,no2,co,o3,pm10,pm2_5,temp_diff,humi_diff,w_dir_diff,wind_diff,rain_diff
48,46,12,27,0.7,26,42,33,0,1,0,0,0
53,48,16,26,0.7,29,52,37,1,-1,0,0,0.1
52,53,17,17,0.6,42,53,36,0,-1,0,0,-0.1
49,52,15,13,0.6,52,49,34,0,0,0,0,0
45,49,16,14,0.6,58,45,30,0,1,0,0,0
46,45,15,15,0.6,60,46,28,1,-2,0,0,0
47,46,13,16,0.6,61,47,28,0,-2,0,0,0
46,47,14,18,0.6,58,46,27,0,-1,0,0,0
47,46,15,23,0.6,51,47,29,1,-3,0,0,0
51,47,20,27,0.7,45,51,26,1,-6,-135,0,0
51,51,20,29,0.7,41,51,29,1,-5,0,0,0
53,51,18,31,0.7,37,55,31,2,-6,135,0,0
54,53,17,29,0.7,38,57,31,1,-4,-135,0,0
53,54,16,26,0.7,41,56,32,0,0,135,0,0
53,53,16,25,0.8,42,56,33,1,-5,-135,0,0
52,53,14,24,0.7,42,54,34,0,2,135,0,0
51,52,13,20,0.7,44,52,33,-1,2,0,0,0
50,51,12,17,0.7,44,50,34,0,3,0,0,0
49,50,11,18,0.8,28,49,33,-1,4,0,0,0
54,49,11,18,0.8,21,56,38,0,4,0,0,0
58,54,12,20,0.9,12,57,41,-1,2,0,0,0
60,58,13,20,1,10,57,43,-1,4,0,0,0
62,60,15,21,1.1,8,63,44,0,1,0,0,0
65,62,18,22,1.2,8,70,47,-1,3,-270,0,0
69,65,24,25,1.3,11,78,50,-3,2,0,0,0
73,69,29,29,1.2,16,85,53,-1,0,0,0,0
73,73,30,30,1.1,25,87,53,0,-1,0,0,0
66,73,25,24,0.7,47,81,47,-1,1,0,-1,0
54,66,15,13,0.5,69,58,38,0,0,45,0,0
45,54,12,13,0.5,79,45,30,0,0,0,0,0
47,45,13,16,0.6,76,47,27,0,0,-45,0,0
52,47,15,20,0.9,51,54,32,0,-1,0,1,0
65,52,19,24,1.1,28,78,47,1,-4,45,-1,0
92,65,17,25,1,18,95,68,2,-5,-45,0,0
93,92,17,25,1,15,90,69,3,-8,-45,0,0
87,93,18,26,1,14,81,64,3,-8,45,0,0
78,87,18,26,1,13,73,57,2,-5,80,1,0
70,78,18,25,1,10,72,51,1,-3,-35,0,0
70,70,18,23,1,9,73,51,-5,8,0,0,0
73,70,14,22,1,7,79,53,-3,12,-45,1,0
67,73,12,20,1,7,74,48,-2,7,0,-1,0
58,67,10,18,1,6,58,41,-1,5,0,0,0
52,58,8,18,1,6,51,36,-1,1,-45,0,0
45,52,8,16,1,6,43,31,0,2,45,0,0
42,45,8,15,1,7,39,29,0,1,45,0,0
40,42,10,15,0.9,8,39,28,0,1,-45,0,0
39,40,13,17,0.9,7,36,27,-1,0,0,0,0
34,39,19,18,1,8,34,21,0,4,0,0,0
38,34,20,17,1,10,38,23,0,0,0,0,0
41,38,19,17,1,11,41,26,0,0,0,0,0
46,41,21,17,1,12,46,27,0,0,0,0,0
50,46,21,17,1,14,50,30,0,0,0,0,0
51,50,20,17,1,16,51,33,0,-1,0,0,0
51,51,19,19,1,16,52,34,0,0,0,-1,0
51,51,18,21,1,15,51,35,0,-2,0,0,0
53,51,15,24,1,13,56,34,0,-3,0,0,0
52,53,14,23,1,16,54,33,1,-2,0,1,0
48,52,12,21,0.9,17,48,30,0,-2,0,-1,0
46,48,12,22,1,14,44,32,0,0,0,1,0
45,46,12,23,1,12,43,31,0,-2,45,0,0
47,45,12,22,1,12,47,31,0,1,0,0,0
43,47,10,19,1,14,42,30,0,1,-45,0,0
35,43,9,18,1,14,32,24,0,1,0,0,0
25,35,8,17,1,13,23,17,0,1,0,0,0
22,25,7,14,0.9,16,19,15,0,2,0,0,0
18,22,7,14,0.9,18,17,12,0,1,0,0,0
16,18,7,12,0.9,19,16,10,0,-1,0,0,0
15,16,7,13,0.9,18,15,9,0,2,-45,0,0
18,15,7,15,0.9,16,17,12,-1,3,90,0,0
15,18,7,16,0.9,12,15,10,0,1,-45,-1,0
16,15,7,16,1,11,16,10,0,1,0,0,0.2
16,16,8,16,1,9,16,11,0,1,0,0,-0.1
23,16,10,17,1.1,8,23,16,0,0,0,1,0.1
35,23,13,18,1.1,9,35,22,0,0,0,0,-0.1
41,35,14,21,1.2,7,41,26,0,0,0,-1,0
54,41,17,24,1.4,7,58,37,0,0,0,1,0
67,54,17,26,1.4,6,74,48,-1,0,0,0,-0.1
68,67,19,29,1.5,6,68,49,0,1,0,0,0.1
77,68,21,29,1.4,6,83,56,0,-1,0,0,-0.1
78,77,23,31,1.4,5,84,57,0,0,0,-1,0
78,78,34,32,1.6,5,88,57,1,-1,45,0,0
88,78,35,30,1.7,7,104,65,0,-1,-45,0,0
84,88,27,30,1.4,9,100,62,0,0,45,0,0
69,84,16,31,1,13,78,50,0,2,0,0,0
43,69,12,28,0.8,17,40,30,1,0,-90,0,0
32,43,10,27,0.7,16,26,22,0,0,90,1,0
20,32,10,24,0.7,20,19,14,0,-1,-45,-1,0
22,20,10,22,0.6,24,21,15,0,-1,0,0,0
19,22,10,13,0.5,35,18,13,1,0,45,0,0
15,19,9,10,0.5,38,13,10,0,-1,90,0,0
14,15,9,11,0.5,39,14,9,1,3,-55,1,2.6
15,14,9,11,0.5,42,15,10,1,1,145,-1,-1.3
23,15,13,15,0.4,49,23,13,7,-33,-90,2,-1.3
26,23,12,14,0.4,50,26,12,0,4,0,0,0
26,26,10,12,0.4,50,26,13,-1,4,135,-1,0
27,26,8,8,0.4,52,27,15,0,1,0,0,0
22,27,8,10,0.4,50,22,15,-2,8,-135,0,0.2
22,22,8,10,0.4,49,18,15,0,-2,135,0,-0.2
22,22,8,8,0.4,52,19,15,0,-1,0,0,0
20,22,8,13,0.5,47,19,14,1,1,0,0,0
19,20,9,19,0.5,42,18,13,0,2,0,0,0
20,19,9,19,0.5,43,20,14,-1,2,-135,0,0
20,20,11,19,0.5,47,20,14,0,4,135,0,0.2
19,20,12,14,0.4,58,18,13,-1,6,-135,0,1.1
20,19,13,12,0.4,60,20,10,0,2,135,0,-0.5
25,20,11,13,0.4,57,25,8,0,-4,0,0,-0.8
20,25,10,12,0.4,57,20,8,0,1,0,0,0
27,20,10,12,0.4,54,27,12,0,0,0,0,0
27,27,11,16,0.5,50,27,15,0,-1,0,0,0.4
34,27,10,17,0.5,50,34,16,1,-8,0,0,-0.4
30,34,9,20,0.5,47,30,18,0,-5,0,0,0
29,30,11,16,0.4,52,29,18,1,-7,0,2,0
27,29,11,17,0.4,58,27,15,0,3,-135,-2,0
19,27,11,21,0.4,49,19,12,0,2,0,0,0
21,19,15,29,0.6,31,21,12,1,-2,0,1,0
29,21,13,22,0.7,26,29,17,-1,4,135,-1,0.1
40,29,9,11,0.8,37,40,22,1,-4,0,0,-0.1
26,40,8,13,0.8,39,26,14,-2,11,-190,1,8
21,26,9,12,0.8,42,21,13,0,1,55,-1,7.2
21,21,10,10,0.7,47,21,13,1,-10,135,0,-15.2
21,21,9,9,0.7,51,21,12,-1,-7,0,0,0
22,21,8,8,0.7,53,20,15,-2,13,-45,-1,0
26,22,8,8,0.6,51,24,18,0,11,0,1,0
27,26,10,13,0.7,41,27,18,-4,-12,-45,1,0
35,27,12,22,0.8,30,34,24,-1,0,-180,-1,0
48,35,15,24,0.8,31,46,33,0,-3,-45,0,0
55,48,17,23,0.8,38,60,38,0,0,0,0,0
54,55,19,23,0.9,44,57,38,-1,0,0,0,0
53,54,24,30,1,46,55,35,0,-1,0,0,0
60,53,25,30,0.9,59,70,40,-1,1,45,-1,0
59,60,22,28,0.8,68,67,40,-1,6,180,0,0
57,59,19,27,0.7,74,62,40,0,0,0,0,0
53,57,20,26,0.7,80,56,32,-1,4,-225,0,0
54,53,20,29,0.7,81,57,34,2,-9,125,0,0
53,54,21,43,0.8,63,55,31,2,-11,0,0,0
56,53,32,56,1,38,62,32,1,-5,0,1,0
65,56,35,59,1,26,80,41,2,-9,55,0,0
69,65,39,62,1.1,16,88,45,2,-2,-180,-1,0
70,69,37,54,1.1,18,89,46,2,-3,315,1,0
71,70,35,47,1.1,19,91,43,0,1,-45,0,0
71,71,31,41,1,21,92,44,1,-3,-45,-1,0
65,71,23,37,1,21,79,43,1,-3,90,0,0
65,65,20,33,1,22,79,40,-2,12,-45,0,0
63,65,24,33,1.1,19,76,37,-3,15,0,0,0
66,63,21,30,1,20,82,42,-1,8,0,0,0
62,66,21,32,0.8,24,74,41,-1,4,-45,0,0
56,62,17,24,0.7,34,61,36,-1,2,0,0,0
46,56,16,24,0.6,35,46,29,0,3,-180,-1,0
44,46,17,30,0.8,28,44,28,0,2,80,0,0
48,44,17,33,0.7,28,48,31,-1,2,-125,0,0
52,48,16,27,0.6,36,53,28,1,0,0,1,0
49,52,15,24,0.5,42,49,28,0,-2,125,0,0
45,49,14,19,0.5,49,45,28,1,-1,-35,0,0
46,45,14,16,0.5,56,46,25,0,-2,-45,0,0
46,46,13,12,0.4,65,46,25,0,1,45,0,0
42,46,11,11,0.4,70,42,24,0,2,35,0,0
44,42,11,12,0.4,70,44,21,0,0,0,0,0
45,44,11,15,0.5,67,45,20,0,-1,55,0,0
41,45,12,19,0.5,60,41,22,1,-3,-135,0,0
44,41,14,19,0.5,59,44,23,4,-6,270,1,0
44,44,14,19,0.5,59,44,25,1,-4,0,0,0
43,44,13,18,0.5,57,43,25,1,-3,0,0,0
45,43,13,22,0.5,50,45,24,1,-7,0,0,0
46,45,14,23,0.6,45,46,28,1,-3,-135,0,0
51,46,14,18,0.6,44,51,31,0,-2,0,0,0
47,51,13,21,0.8,26,47,30,0,2,0,0,0
53,47,12,21,0.9,14,55,35,-1,2,0,0,0
54,53,11,20,1,9,57,38,0,3,135,0,0
58,54,12,20,1,6,63,41,-1,4,-135,0,0
62,58,10,15,1,8,65,44,0,2,0,0,0
54,62,9,13,1,9,56,38,-3,-1,-135,0,0
50,54,10,14,1,9,50,35,-3,7,45,0,0
49,50,11,15,1,7,47,34,-1,3,0,0,0
49,49,12,16,1.1,9,49,32,-1,1,-45,0,0
48,49,12,16,1.1,12,48,31,-1,1,0,0,0
46,48,12,17,1.1,14,46,27,0,2,0,0,0
43,46,13,17,1.1,19,43,24,-1,1,0,0,0
40,43,15,18,1.1,22,40,23,0,0,0,1,0
43,40,16,17,1.1,26,43,22,-1,0,0,-1,0
43,43,12,16,1.1,30,43,22,0,0,0,0,0
41,43,12,16,1.1,31,41,22,0,0,0,0,0
38,41,11,17,1.1,30,38,21,-1,-1,0,0,0
45,38,11,20,1.1,24,45,25,0,-1,0,0,0
47,45,11,21,1.1,18,47,28,0,-1,0,0,0
47,47,11,23,1.2,14,47,31,1,-3,0,0,0
44,47,11,22,1.2,13,44,30,0,-3,45,0,0
22,44,9,18,1.2,16,22,15,0,6,0,0,0
15,22,8,17,1.1,17,15,10,-1,5,0,0,0
13,15,7,16,1.1,17,13,9,0,2,-45,0,0
15,13,7,14,1.1,17,13,10,0,0,0,0,0
13,15,8,13,1.1,18,13,8,0,0,0,0,0
14,13,8,11,1.1,19,14,9,0,0,0,0,0
13,14,8,11,1.1,19,13,9,-1,0,0,0,0
13,13,8,17,1.2,16,13,8,0,2,0,0,0.1
17,13,8,20,1.2,14,17,10,0,0,0,0,0
21,17,10,19,1.2,16,21,10,0,1,0,0,0
22,21,12,20,1.2,18,22,11,0,-1,0,0,0
26,22,15,19,1.2,20,26,12,0,0,0,0,-0.1
29,26,13,18,1.2,23,29,15,0,0,45,0,0
27,29,11,18,1.2,28,27,15,-1,1,0,0,0.1
24,27,11,17,1.1,32,24,14,0,0,-45,0,-0.1
25,24,10,16,1.1,36,25,15,0,0,0,0,0
26,25,10,19,1.1,34,26,16,0,-2,0,0,0
28,26,10,21,1,32,28,14,1,-6,0,0,0
26,28,10,23,1,32,26,14,0,-2,0,0,0
21,26,11,21,1,36,21,14,0,5,0,0,0
21,21,12,21,1,33,21,12,0,1,0,0,0
21,21,13,20,1,28,21,12,0,-2,0,0,0
21,21,13,20,1.1,22,21,12,1,-3,0,0,0
23,21,14,15,1,26,23,11,0,-2,0,0,0
19,23,11,13,1.1,32,19,9,-1,6,0,0,0
17,19,10,12,1.1,33,17,9,0,2,0,0,0
17,17,9,10,0.9,33,17,10,0,-2,0,0,0.1
16,17,10,9,1,33,16,10,0,-3,0,0,-0.1
15,16,11,9,0.9,33,15,10,0,-1,0,0,0
18,15,10,10,0.9,32,18,11,0,2,0,0,0
18,18,10,12,1,29,18,10,-1,-1,0,0,0
19,18,12,17,1,25,19,10,0,-2,0,0,0
23,19,12,21,1,21,23,13,0,5,0,0,0
27,23,16,23,1.1,18,27,15,0,0,0,0,0
37,27,21,24,1.2,17,37,19,0,-1,0,0,0
48,37,25,24,1.2,21,48,26,0,-2,0,0,0
50,48,23,23,1.1,26,50,29,0,-1,0,0,0
46,50,20,21,1.1,36,46,29,0,1,0,0,0
40,46,16,21,1,43,40,28,0,1,0,0,0
39,40,13,18,1,45,39,26,0,0,45,-1,0
40,39,11,17,1,44,40,27,0,0,35,0,0
45,40,12,19,1,42,42,31,1,-2,-80,0,0
46,45,14,20,0.9,43,45,32,0,-3,0,1,0.1
48,46,14,19,0.9,46,45,33,1,-1,45,-1,-0.1
52,48,15,17,0.9,48,45,36,1,-4,0,1,0
46,52,14,14,0.8,51,43,32,1,-7,-45,0,0
38,46,11,12,0.8,53,38,26,0,0,-45,0,0
32,38,12,12,0.7,53,32,22,-1,2,45,0,0
31,32,11,13,0.8,51,31,20,0,2,0,0,0
34,31,10,14,0.8,47,34,22,0,-2,0,0,0
35,34,10,17,0.8,39,35,21,0,2,0,0,0
40,35,11,21,0.8,30,40,26,0,2,0,0,0
40,40,11,22,0.8,25,40,26,-1,3,45,0,0
43,40,11,21,0.8,21,43,28,0,-2,-45,0,0
44,43,10,23,0.8,18,44,27,0,-3,45,-1,0
49,44,12,25,0.8,15,49,31,0,-1,0,0,0
51,49,18,27,0.9,15,52,34,0,0,0,0,0
58,51,28,26,0.9,22,65,41,-1,5,35,0,0
69,58,29,26,0.9,29,72,50,0,2,190,-1,0
73,69,27,25,1,36,76,53,-1,6,0,1,0
72,73,22,21,0.9,50,77,52,0,1,0,0,0
64,72,20,20,0.9,65,68,46,-1,0,-225,0,0
68,64,17,19,0.9,77,67,49,0,2,90,0,0
64,68,16,19,0.9,86,63,46,-1,3,-55,0,0
62,64,17,22,0.9,88,66,44,2,-9,-80,0,0
62,62,18,27,1,82,67,44,1,-7,0,0,0
62,62,25,44,1.1,53,71,44,2,-9,80,0,0
68,62,45,60,1.4,25,78,49,2,-8,145,0,0
87,68,49,58,1.4,18,105,64,1,-1,45,1,0
92,87,40,55,1.3,17,111,68,2,-3,0,0,0
84,92,23,43,1.1,21,96,62,1,0,0,0,0
68,84,21,39,1,20,77,49,0,-2,-135,0,0
68,68,18,38,1,16,72,49,1,-1,0,-1,0
65,68,15,38,1,14,70,47,-1,4,0,1,0
63,65,17,37,1,13,67,45,-3,18,135,-1,0
63,63,17,36,1,16,70,45,-2,8,-90,0,0
65,63,18,37,1,16,71,47,-1,3,45,0,0
62,65,17,33,0.9,23,69,44,0,0,45,0,0
56,62,12,25,0.8,34,61,36,0,3,-315,0,0
51,56,10,25,0.8,35,52,33,-1,2,315,0,0
46,51,9,29,0.9,31,46,29,0,-1,0,0,0
41,46,10,29,0.9,30,41,28,0,3,-315,0,0
40,41,13,27,0.9,30,40,28,1,-2,0,0,0
46,40,15,26,0.9,34,45,32,-1,-2,45,0,0
48,46,15,20,0.8,42,48,30,1,1,80,0,0
41,48,15,20,0.8,45,41,27,-1,4,0,0,0
40,41,14,20,0.8,44,40,26,0,1,-80,0,0.1
43,40,15,22,0.8,42,43,28,0,1,45,1,-0.1
46,43,15,24,0.8,39,46,30,0,0,-45,-1,0.2
47,46,16,31,0.9,28,47,31,1,1,45,0,0
51,47,15,27,0.9,17,52,33,0,0,-45,0,-0.2
52,51,15,26,0.9,13,54,35,2,-7,135,0,0
59,52,13,24,0.8,12,58,42,1,-9,135,1,0
64,59,9,21,0.8,12,59,46,1,-3,0,0,0
52,64,8,18,0.7,15,42,36,0,-1,0,0,0
35,52,7,14,0.7,18,27,24,0,2,-270,0,0
25,35,7,11,0.7,24,20,17,-1,2,45,0,0
16,25,6,9,0.7,26,13,11,-2,2,-45,0,0
12,16,6,8,0.7,31,11,8,0,3,0,0,0
13,12,6,7,0.7,37,13,7,-1,2,0,0,0
13,13,6,7,0.7,40,10,6,-1,4,0,0,0
14,13,6,6,0.7,43,10,7,0,2,0,0,0.1
14,14,6,8,0.7,43,10,6,-1,1,0,0,0.1
13,14,6,12,0.7,39,9,5,0,0,0,0,0.2
14,13,7,13,0.7,43,9,6,0,0,0,1,-0.1
15,14,7,13,0.7,47,12,7,-1,0,0,-1,-0.1
17,15,9,15,0.7,43,17,9,0,-2,0,0,-0.1
21,17,10,17,0.8,38,21,14,0,1,0,0,0.4
29,21,11,21,0.8,33,29,17,-1,0,0,0,-0.3
36,29,11,23,0.9,30,34,25,0,-2,0,0,-0.1
45,36,10,22,0.8,30,42,31,0,0,0,0,-0.1
43,45,10,22,0.8,28,42,30,0,-1,0,0,0
43,43,11,24,0.9,24,41,30,0,-2,45,0,0
42,43,11,30,0.9,17,41,29,0,0,-45,0,0
39,42,12,30,0.9,17,36,27,1,-1,0,0,0
35,39,11,27,0.9,18,32,24,0,0,45,-1,0
35,35,11,27,0.9,18,30,24,0,2,-45,0,0
32,35,10,23,0.9,21,26,22,0,1,0,0,0
22,32,9,22,0.9,22,20,15,0,1,0,1,0
19,22,8,20,0.9,23,15,13,0,0,45,0,0
15,19,8,18,0.9,23,14,10,0,2,-45,0,0
13,15,7,15,0.8,25,12,9,-1,1,0,0,0.2
11,13,6,12,0.8,28,11,7,0,1,0,0,-0.1
10,11,6,10,0.8,29,9,6,0,0,0,0,0.1
10,10,6,9,0.8,30,9,7,0,0,0,0,0
10,10,6,8,0.8,30,8,7,-1,-1,0,0,0.4
9,10,7,11,0.8,28,8,6,0,1,0,0,-0.1
9,9,7,15,0.8,25,9,6,0,0,0,0,0.1
9,9,8,18,0.8,22,9,6,0,0,0,0,0.2
12,9,9,20,0.9,21,11,8,0,0,0,0,-0.2
18,12,10,19,0.9,21,18,12,0,0,0,0,-0.3
19,18,10,19,0.9,21,19,10,0,0,0,0,-0.2
24,19,11,19,0.9,21,24,15,0,-1,0,0,0.1
25,24,10,18,0.9,20,24,17,0,1,0,0,0
25,25,11,20,0.9,19,24,17,0,-1,0,0,-0.1
27,25,11,21,0.9,17,27,18,0,0,0,0,0
29,27,10,20,0.9,17,25,20,0,0,0,0,-0.1
22,29,10,20,0.9,17,22,15,0,-1,0,0,0
23,22,10,20,0.9,17,22,16,1,0,0,0,0
25,23,11,21,0.9,18,22,17,0,0,0,0,0
20,25,11,20,0.9,18,18,14,0,1,0,0,0
19,20,10,19,0.9,20,18,13,1,0,0,0,0
18,19,10,18,0.9,21,18,12,0,0,0,0,0
16,18,9,15,0.8,24,16,11,0,0,0,0,0.1
16,16,9,14,0.8,24,14,11,0,0,0,0,-0.1
15,16,9,13,0.8,25,15,9,-1,0,0,0,0.1
16,15,9,13,0.8,26,16,10,0,-1,0,0,-0.1
18,16,9,13,0.8,24,18,11,0,0,0,0,0.2
21,18,9,13,0.8,23,21,14,0,0,0,0,0.1
26,21,10,14,0.9,22,23,18,0,-1,0,0,-0.2
25,26,10,17,0.9,19,24,17,0,-2,0,0,0
27,25,11,23,0.9,15,27,17,0,-1,0,0,-0.1
27,27,13,25,1,14,27,18,-1,1,0,0,0
32,27,16,23,1,16,32,19,0,0,0,0,0
40,32,18,24,1,17,40,22,1,0,0,0,0
48,40,21,23,1,18,48,27,0,0,45,-1,0
54,48,22,20,1,23,57,34,0,-1,-45,1,0
51,54,20,20,1,25,51,33,0,-1,0,-1,0
49,51,21,20,1,25,49,31,0,-1,0,0,0
50,49,22,20,0.9,27,50,30,0,0,0,1,0
52,50,19,21,1,27,54,34,0,-1,0,0,0
58,52,19,23,1,24,58,41,0,0,45,-1,0
60,58,22,24,0.9,29,59,43,1,-2,-45,0,0
55,60,20,21,0.9,38,53,39,1,-2,0,1,0
46,55,16,19,0.8,44,40,32,1,-4,0,-1,0
35,46,15,18,0.8,45,33,24,0,0,0,1,0
32,35,13,16,0.8,44,32,22,0,0,0,0,0
32,32,13,15,0.8,40,32,21,0,0,0,0,0
38,32,13,11,0.8,38,38,25,1,-1,0,0,0
40,38,9,10,0.8,37,39,28,0,-2,0,0,0
45,40,9,10,0.8,36,37,31,-1,3,0,0,0
42,45,9,9,0.8,39,35,29,0,-1,0,0,0
30,42,8,7,0.8,45,30,21,0,1,0,0,0
23,30,8,7,0.8,47,23,16,0,1,0,0,0
22,23,8,8,0.8,48,21,15,-1,1,0,0,0
22,22,9,11,0.8,48,21,15,0,4,45,0,0
25,22,11,13,0.8,56,25,14,-1,4,-45,-1,0
27,25,12,15,0.7,55,27,17,0,-2,0,1,0
29,27,15,16,0.7,55,29,19,0,-2,0,0,0
34,29,16,16,0.8,56,34,21,0,0,0,0,0
37,34,17,18,0.8,57,37,21,-1,-1,0,0,0
37,37,18,18,0.8,60,37,24,0,-4,0,0,0
39,37,19,21,0.8,58,39,26,0,-2,0,0,0
43,39,18,21,0.8,59,43,28,0,-1,0,0,0
42,43,18,19,0.7,58,42,29,0,-3,0,0,0
46,42,17,18,0.7,56,46,31,1,-5,0,0,0
50,46,14,13,0.7,59,50,34,1,-5,-45,-1,0
53,50,12,14,0.7,56,55,37,1,-2,90,1,0
55,53,10,14,0.7,52,58,39,1,-4,-45,0,0
54,55,9,14,0.7,47,51,38,0,-2,45,0,0
48,54,8,11,0.7,48,42,33,0,1,0,0,0
39,48,8,8,0.6,50,33,27,0,3,0,0,0
30,39,7,7,0.7,52,28,21,0,4,-45,-1,0
28,30,8,7,0.7,52,28,19,-1,6,45,1,0
28,28,8,7,0.6,54,26,19,-1,5,-45,0,0
25,28,8,7,0.6,60,22,17,-1,9,45,0,0
25,25,8,7,0.6,59,24,17,-1,8,0,0,0.1
29,25,8,8,0.7,56,23,20,0,2,-45,0,0.1
33,29,8,12,0.7,51,27,23,0,0,45,0,0
35,33,9,15,0.7,50,32,24,-1,0,-45,0,-0.1
39,35,11,18,0.8,46,37,27,0,-1,0,-1,-0.1
49,39,18,22,0.8,43,46,34,0,-5,0,1,0
53,49,18,21,0.8,42,52,37,0,-1,0,0,0
55,53,21,22,0.9,42,54,39,0,1,0,0,0
58,55,23,23,0.9,40,54,41,0,1,0,0,0
57,58,22,23,0.9,43,58,40,0,-3,0,0,0
63,57,21,24,0.9,41,60,45,0,-3,0,0,0
70,63,20,26,0.9,36,68,51,1,-2,0,-1,0
78,70,17,22,0.9,32,78,57,0,-3,0,1,0
112,78,20,22,0.9,28,110,84,1,0,45,0,0
130,112,22,21,0.9,31,120,99,1,-2,-45,0,0
127,130,20,20,0.9,35,115,96,0,-1,45,0,0
120,127,20,20,0.9,39,109,91,1,0,-45,0,0
105,120,19,19,0.9,39,100,79,0,0,45,0,0
97,105,19,19,0.9,36,91,72,0,1,0,0,0
95,97,20,19,0.9,35,91,71,-1,2,-45,0,0
93,95,20,17,0.9,35,89,69,0,0,0,0,0
82,93,20,16,0.9,34,80,60,0,-1,0,0,0
79,82,20,14,0.9,34,77,58,-1,-1,0,0,0
75,79,19,15,0.9,33,72,55,0,-1,0,0,0
75,75,18,17,0.9,30,69,55,0,0,0,0,0
74,75,18,19,0.9,30,69,54,0,1,0,-1,0
69,74,21,26,0.9,23,66,50,0,2,45,1,0
70,69,27,26,0.9,23,70,51,0,0,0,-1,0
79,70,35,23,0.9,30,77,58,0,0,-45,0,0
74,79,30,20,0.9,39,72,54,0,1,45,0,0
63,74,23,17,0.8,46,60,45,0,2,35,0,0
59,63,22,17,0.9,49,54,42,0,1,55,0,0
55,59,21,18,0.9,54,54,39,0,-1,-135,1,0
58,55,21,23,0.9,54,52,41,0,1,45,-1,0
57,58,20,27,0.9,51,58,40,0,-1,-45,0,0
57,57,23,32,1,45,57,40,1,-3,80,0,0
62,57,28,39,1,36,63,44,1,-3,0,0,0
67,62,36,43,1.1,25,73,48,0,-6,-35,0,0
74,67,31,40,1,25,79,54,1,-4,0,0,0
64,74,32,36,1,26,68,46,1,-4,-45,0,0
62,64,27,29,0.9,32,64,44,0,-1,-45,0,0
59,62,18,15,0.8,50,58,42,1,-2,180,0,0
51,59,13,14,0.8,53,51,34,-1,2,-90,0,0
53,51,10,14,0.8,50,55,33,0,2,0,0,0
49,53,9,13,0.8,48,49,32,0,2,0,0,0
46,49,8,12,0.8,48,42,32,0,4,35,0,0
40,46,8,11,0.8,46,35,28,-1,4,-35,0,0
38,40,8,11,0.8,43,35,26,0,1,0,0,0
33,38,8,14,0.8,38,31,23,0,0,0,0,0
32,33,9,21,0.9,30,28,22,0,2,0,0,0
30,32,10,24,0.9,25,26,21,0,7,35,0,0
26,30,12,25,0.9,24,26,18,-1,10,-35,0,0
28,26,14,26,0.9,23,25,19,0,2,0,0,0
30,28,14,24,0.9,25,29,21,-1,1,0,0,0.1
28,30,14,23,0.9,27,26,19,0,1,0,0,0
28,28,14,23,0.9,28,25,19,0,0,-45,0,0.1
26,28,14,24,0.9,25,26,18,0,0,0,1,-0.1
30,26,15,26,0.9,24,28,21,0,0,0,-1,0.1
30,30,15,26,0.9,22,30,21,0,1,0,0,0
33,30,14,27,1,18,28,23,0,-1,0,1,-0.1
30,33,14,29,1,17,29,21,1,0,0,-1,-0.1
32,30,14,29,1,16,29,22,0,-1,45,0,0.1
29,32,14,27,0.9,16,29,20,1,0,-90,0,-0.1
30,29,15,25,1,16,29,21,0,0,90,0,0.1
29,30,15,25,0.9,14,28,20,0,0,0,0,-0.1
27,29,13,21,0.9,17,27,18,0,0,0,0,0
22,27,9,15,0.8,23,21,15,-1,1,-45,1,0.4
18,22,8,13,0.8,26,17,12,0,0,0,-1,-0.2
21,18,7,10,0.7,29,21,14,0,0,0,1,0
20,21,7,8,0.7,31,20,13,0,1,45,-1,0.1
22,20,7,10,0.8,30,22,14,0,0,35,0,0
23,22,8,12,0.8,28,23,16,0,0,0,0,-0.1
27,23,9,17,0.8,23,27,17,0,1,-35,0,0.1
28,27,11,25,0.9,17,27,19,1,0,35,0,-0.1
29,28,14,29,1.1,13,29,20,1,0,190,1,-0.1
32,29,18,29,1,16,31,22,0,0,-135,0,0
36,32,21,26,0.9,26,34,25,0,0,135,0,0
40,36,18,16,0.7,41,38,28,1,-1,0,0,-0.1
34,40,14,14,0.7,51,34,23,0,0,0,0,0
36,34,14,11,0.7,61,36,23,0,0,0,0,0
34,36,12,9,0.6,67,34,21,0,-1,-45,0,0
34,34,11,10,0.6,67,34,18,0,0,0,-1,0
34,34,11,12,0.6,67,34,17,1,1,-225,0,0
32,34,11,15,0.6,63,32,20,1,-2,270,1,0
37,32,13,22,0.7,54,37,21,3,-11,0,0,0.1
37,37,14,19,0.7,50,37,23,1,-10,0,0,-0.1
35,37,13,18,0.7,51,35,23,1,-5,0,0,0
35,35,13,16,0.6,53,35,23,2,-5,0,0,0
35,35,13,14,0.6,55,35,23,1,-4,-135,0,0
35,35,12,14,0.6,56,35,23,1,-3,0,0,0
36,35,11,10,0.6,58,34,25,0,-1,135,0,0
34,36,9,8,0.6,54,34,21,-3,13,-135,0,0
36,34,11,11,0.8,23,35,25,-1,8,135,0,0
50,36,10,12,0.8,18,45,35,0,1,-135,0,0
45,50,10,14,0.8,16,44,31,0,1,135,0,0
45,45,11,19,0.9,11,42,31,-3,-1,-190,0,0
52,45,12,19,0.9,10,53,36,-1,3,-80,0,0
54,52,15,18,0.9,11,57,35,1,-1,45,0,0
